CensusTract,County,Borough,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Citizen,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Unemployment
36005003500,Bronx,Bronx,3948,1921,2027,73.5,0.7,25.9,0.0,0.0,2191,26541,12300,36.3,47.9,15.9,34.6,23.5,7.6,18.4,19.6,2.6,64.7,7.4,1.0,4.7,41.6,11.8
36005003700,Bronx,Bronx,246,128,118,57.7,24.4,17.9,0.0,0.0,207,(X),14771,43.5,0.0,17.7,41.7,24.0,0.0,16.7,8.3,0.0,79.2,12.5,0.0,0.0,33.0,11.1
36005003800,Bronx,Bronx,1193,542,651,53.1,1.8,42.7,0.0,0.8,846,37685,19795,31.3,45.0,35.7,31.9,17.6,3.2,11.6,41.6,1.7,47.3,6.9,1.3,1.1,41.3,13.1
36005003900,Bronx,Bronx,6614,3520,3094,82.0,1.9,16.1,0.0,0.0,2569,25990,14559,30.2,35.7,9.3,43.8,12.7,10.2,24.0,3.4,1.1,83.6,6.5,0.6,4.8,42.9,9.3
36005004001,Bronx,Bronx,1419,675,744,51.3,11.2,10.8,0.0,21.6,936,48056,22652,16.6,28.6,18.1,17.9,42.7,9.5,11.8,31.0,3.0,62.9,3.2,0.0,0.0,47.4,6.8
36005004100,Bronx,Bronx,6476,3125,3351,75.8,0.5,23.4,0.0,0.2,3809,18636,10877,53.3,67.4,8.9,48.1,30.3,8.3,4.4,6.7,0.5,75.1,16.2,0.7,0.8,43.5,19.2
36005004200,Bronx,Bronx,7120,3147,3973,46.5,5.1,47.0,0.0,0.8,5248,25741,13846,40.5,56.4,26.3,32.0,23.9,6.6,11.1,19.4,2.7,68.9,7.2,1.0,1.0,48.5,21.0
36005004300,Bronx,Bronx,6057,3094,2963,74.1,0.4,23.4,0.0,0.0,3032,21448,11828,46.6,55.2,14.4,39.1,22.3,10.1,14.0,13.4,2.6,66.4,12.6,1.0,4.0,39.6,15.6
36005004400,Bronx,Bronx,4754,2081,2673,60.6,2.4,35.2,0.0,1.7,3153,22719,12126,34.8,46.6,16.3,30.4,38.2,4.1,11.0,15.9,5.6,72.4,2.5,0.8,2.8,43.2,26.1
36005004600,Bronx,Bronx,1869,845,1024,59.7,3.0,36.6,0.4,0.0,1182,40950,19260,25.5,37.1,23.6,38.4,21.2,5.9,10.9,35.3,8.3,47.1,9.3,0.0,0.0,33.7,13.4
36005004800,Bronx,Bronx,3999,2154,1845,71.7,1.2,23.8,0.0,2.4,1499,30301,13968,33.2,41.9,15.7,37.8,19.9,12.1,14.5,14.0,5.0,71.0,6.6,0.0,3.4,42.1,14.0
36005005001,Bronx,Bronx,4885,2313,2572,58.4,0.0,36.8,0.0,0.0,2288,27456,15334,34.4,50.2,12.3,36.9,24.5,15.6,10.6,14.7,4.3,69.6,8.0,0.0,3.3,48.2,14.5
36005005002,Bronx,Bronx,5650,2867,2783,73.2,0.4,17.1,1.4,0.2,1995,28039,12990,45.6,60.7,5.4,43.4,19.8,18.5,12.9,5.4,3.4,75.1,10.4,2.3,3.3,48.2,13.3
36005005100,Bronx,Bronx,5653,2256,3397,69.7,0.1,28.1,2.1,0.0,3360,18633,10602,49.4,70.1,15.5,52.9,17.3,6.4,7.9,2.4,2.0,92.2,2.5,0.5,0.5,43.6,22.6
36005005200,Bronx,Bronx,2277,1028,1249,69.7,0.5,26.7,0.0,2.9,1344,17756,15123,49.3,57.8,23.1,29.6,22.3,13.2,11.7,14.0,3.7,54.0,12.0,7.3,9.0,43.2,13.5
36005005300,Bronx,Bronx,3727,1514,2213,44.1,3.0,50.7,0.5,0.2,2053,17719,10031,54.7,70.0,17.2,38.0,20.8,10.6,13.4,11.0,4.4,78.7,3.6,2.4,0.0,56.8,23.7
36005005400,Bronx,Bronx,6219,3163,3056,71.7,0.0,21.0,0.0,1.8,2699,27380,14711,41.7,55.8,11.9,32.3,22.3,18.8,14.7,15.0,3.1,67.9,5.6,4.5,3.9,41.3,8.9
36005005600,Bronx,Bronx,2468,1084,1384,66.4,1.0,24.4,0.0,1.8,1296,17771,13596,38.0,52.0,21.1,33.0,23.8,10.7,11.4,17.6,7.4,65.0,8.7,0.0,1.3,40.0,16.8
36005005902,Bronx,Bronx,3131,1460,1671,70.4,1.8,23.1,2.6,1.3,1829,38542,19604,26.9,18.3,21.2,41.2,17.7,9.8,10.1,13.6,2.6,66.5,8.6,0.1,8.7,40.1,14.2
36005006000,Bronx,Bronx,1256,591,665,69.4,4.1,21.4,0.0,1.8,679,41190,15989,35.2,46.8,20.7,39.8,21.3,2.9,15.3,25.9,4.7,61.2,3.5,0.0,4.7,40.4,11.1
36005006100,Bronx,Bronx,3706,1484,2222,16.8,2.1,77.1,0.0,0.5,3232,48298,31379,9.8,7.7,35.0,30.0,27.9,1.7,5.4,27.0,0.8,64.5,7.7,0.0,0.0,37.5,7.8
36005006200,Bronx,Bronx,7610,3790,3820,69.6,0.0,30.2,0.0,0.2,3811,24480,12152,34.7,55.0,14.5,36.2,21.3,21.0,7.0,17.6,0.4,66.7,5.2,3.1,7.1,41.6,11.4
36005006300,Bronx,Bronx,4431,2394,2037,69.1,3.7,20.6,0.8,5.0,2523,32064,19243,27.7,45.0,19.9,25.9,33.4,5.4,15.5,12.9,0.8,73.3,10.4,2.7,0.0,41.4,12.8
36005006400,Bronx,Bronx,3590,1755,1835,54.8,8.3,31.8,0.0,1.1,2288,30726,15846,41.1,63.9,25.4,18.7,40.5,9.9,5.5,32.0,0.8,63.8,0.7,0.6,2.1,46.7,12.2
36005006500,Bronx,Bronx,5487,2557,2930,60.5,4.8,32.7,0.0,1.4,2858,21384,11967,44.2,63.3,10.5,44.1,30.3,4.1,11.1,3.3,0.0,73.5,18.1,0.0,5.1,35.9,11.6
36005006700,Bronx,Bronx,7421,3353,4068,66.3,1.8,29.4,0.5,0.0,3192,21016,13243,47.1,67.1,12.9,35.4,26.3,6.1,19.3,7.8,0.8,62.9,17.9,4.9,5.7,46.2,14.6
36005006800,Bronx,Bronx,3288,1866,1422,59.1,3.1,29.5,0.0,4.2,1474,47232,17178,22.5,33.9,16.1,40.2,22.0,14.7,6.9,25.6,5.8,58.5,5.1,3.9,1.1,42.9,12.5
36005006900,Bronx,Bronx,8554,3740,4814,58.8,2.5,36.1,0.0,1.3,4349,19741,12111,44.0,48.5,18.0,37.7,25.6,5.2,13.5,15.5,3.9,63.8,12.0,0.0,4.9,38.3,16.7
36005007000,Bronx,Bronx,4568,2172,2396,64.1,2.3,25.0,0.7,5.1,2211,34191,14602,30.1,55.3,16.4,34.3,22.6,14.1,12.6,14.2,4.5,72.5,3.9,0.9,4.0,45.4,11.8
36005007100,Bronx,Bronx,2547,1080,1467,60.7,1.1,36.4,0.0,0.9,1783,38289,18245,28.8,37.8,26.7,23.4,27.6,14.4,7.8,19.2,0.5,68.3,9.4,1.2,1.4,44.4,16.5
36005007200,Bronx,Bronx,5822,2924,2898,50.4,6.2,15.3,0.0,22.2,2631,37634,14985,33.4,48.0,19.9,30.9,26.7,12.0,10.6,29.4,0.9,60.1,5.0,2.2,2.3,42.2,7.4
36005007300,Bronx,Bronx,3761,1866,1895,63.0,2.0,33.9,0.1,0.0,1690,18358,9872,50.7,60.0,10.1,47.9,26.3,4.8,10.9,12.2,1.9,61.8,9.5,2.6,12.0,46.2,20.2
36005007400,Bronx,Bronx,3635,1744,1891,72.8,1.5,25.5,0.0,0.2,2675,44455,22275,19.3,40.6,33.9,30.7,23.1,2.8,9.6,40.8,6.8,46.4,3.3,0.0,2.7,45.4,7.1
36005007500,Bronx,Bronx,5599,2072,3527,58.8,1.8,38.5,0.9,0.0,3307,25452,13290,31.7,43.5,19.5,40.5,25.1,6.5,8.4,18.6,3.8,63.1,10.1,1.8,2.7,38.8,8.5
36005007600,Bronx,Bronx,5587,2681,2906,63.7,3.3,19.4,1.5,9.3,2686,33465,15194,34.6,50.3,14.4,29.8,24.1,15.0,16.7,26.7,5.8,61.0,3.2,1.0,2.3,39.4,9.4
36005007700,Bronx,Bronx,1933,879,1054,70.8,2.5,26.3,0.4,0.0,1118,26486,13724,37.8,52.5,20.3,27.9,31.4,10.4,9.9,15.5,10.4,60.2,8.3,2.5,3.1,40.2,13.6
36005007800,Bronx,Bronx,6518,3023,3495,66.2,4.4,15.8,0.0,11.7,3619,30437,14343,31.0,40.9,18.8,31.6,33.5,4.7,11.4,21.5,10.2,57.6,5.6,1.9,3.1,37.6,15.7
36005007900,Bronx,Bronx,6420,3118,3302,77.6,0.1,21.6,0.0,0.0,3204,24278,13513,44.7,63.0,12.2,35.8,25.7,5.3,21.0,13.8,0.0,71.0,10.0,1.1,4.1,41.1,14.4
36005008300,Bronx,Bronx,6882,3348,3534,79.1,0.4,15.6,0.0,4.2,3333,19818,11959,41.9,55.1,18.1,40.4,26.2,5.4,9.9,10.5,2.4,74.2,6.2,3.2,3.5,42.1,14.1
36005008400,Bronx,Bronx,2289,1069,1220,60.8,1.5,30.1,0.9,3.4,1538,60135,23698,13.6,23.7,27.3,27.9,28.7,6.5,9.5,36.6,5.2,54.2,4.0,0.0,0.0,41.8,10.2
36005008500,Bronx,Bronx,5959,3196,2763,77.4,1.0,19.5,0.0,1.0,2988,27174,12216,39.3,41.9,15.4,36.2,27.8,7.8,12.8,13.1,3.4,66.7,11.7,3.2,1.9,37.9,15.1
36005008600,Bronx,Bronx,3874,1668,2206,69.2,0.4,24.9,0.0,4.9,2596,23045,12513,39.1,49.1,17.3,42.9,18.4,7.0,14.4,17.9,5.2,61.7,14.6,0.0,0.6,46.2,9.4
36005008700,Bronx,Bronx,6002,2843,3159,76.9,2.2,20.5,0.0,0.0,3246,29188,14050,30.4,36.2,16.1,39.0,25.7,7.1,12.1,9.5,4.0,70.7,7.5,2.3,6.0,44.5,8.3
36005008900,Bronx,Bronx,3438,1661,1777,79.9,1.6,16.6,0.5,1.4,1672,20849,11550,32.5,26.8,15.9,41.7,21.1,7.4,13.9,11.7,4.9,67.7,10.4,1.1,4.1,44.3,6.5
36005009000,Bronx,Bronx,3476,1681,1795,66.5,3.3,24.6,0.0,4.7,2354,27000,19161,36.7,48.8,31.0,24.9,34.6,5.3,4.2,36.4,6.5,47.8,4.8,0.0,4.4,43.8,14.6
36005009200,Bronx,Bronx,5622,2578,3044,60.9,2.8,14.2,0.0,17.8,3260,35227,18825,21.3,28.2,24.3,29.6,26.5,5.9,13.7,13.2,8.1,67.9,6.7,3.8,0.4,48.4,18.6
36005009300,Bronx,Bronx,6517,3675,2842,72.6,1.2,25.8,0.1,0.0,3353,30159,11783,40.7,49.7,16.5,34.1,22.0,14.4,13.0,24.0,2.3,45.4,23.3,1.1,3.9,40.1,9.5
36005009600,Bronx,Bronx,2562,1255,1307,57.3,6.8,20.2,0.0,14.9,1565,41250,17217,15.6,10.6,19.7,40.3,21.2,3.4,15.2,22.4,7.2,52.4,12.2,2.0,3.7,38.0,17.1
36005009800,Bronx,Bronx,5041,2165,2876,70.1,2.8,21.9,0.0,2.9,3570,57438,24276,23.3,41.2,34.9,21.3,24.6,8.1,11.1,39.7,6.4,49.8,3.1,1.0,0.0,48.3,12.7
36005011000,Bronx,Bronx,153,79,74,100.0,0.0,0.0,0.0,0.0,141,(X),29025,20.9,0.0,30.5,28.4,25.3,0.0,15.8,42.1,0.0,44.2,0.0,0.0,13.7,,12.8
36005011502,Bronx,Bronx,4566,2058,2508,67.4,0.5,30.8,0.1,1.1,2087,21765,10986,47.6,56.7,13.7,39.8,18.4,10.4,17.7,17.3,2.8,65.3,11.5,0.5,2.7,40.5,18.5
36005011700,Bronx,Bronx,1603,787,816,72.1,2.1,25.9,0.0,0.0,991,25483,14854,33.4,42.2,13.0,37.2,24.3,9.2,16.3,13.3,7.3,55.3,18.4,0.0,5.6,38.3,16.8
36005011800,Bronx,Bronx,5364,3208,2156,20.1,73.1,1.7,0.0,4.2,4210,83077,28379,11.3,11.3,38.9,19.5,27.6,3.9,10.0,52.6,13.4,25.6,4.4,0.8,3.1,34.7,7.0
36005011900,Bronx,Bronx,5603,2678,2925,68.8,0.3,28.1,0.4,0.0,2961,22097,13201,39.3,46.3,18.6,48.3,18.3,4.4,10.3,7.1,3.0,76.8,5.5,0.6,7.0,44.3,15.6
36005012101,Bronx,Bronx,3057,1466,1591,72.8,3.4,21.8,0.0,1.1,1467,27813,11175,43.1,48.5,14.2,35.7,25.5,9.8,14.8,14.4,3.1,77.7,1.6,0.3,2.7,46.4,10.6
36005012102,Bronx,Bronx,1835,762,1073,81.9,0.9,16.1,0.0,0.0,1132,20028,8603,49.6,61.0,11.0,37.1,32.2,6.3,13.5,15.7,5.2,70.2,8.9,0.0,0.0,44.1,17.7
36005012300,Bronx,Bronx,4379,2073,2306,66.3,0.5,28.0,0.0,0.7,2386,21300,15115,45.1,59.5,22.8,31.4,29.9,8.6,7.2,12.5,1.8,69.6,9.8,1.7,4.5,43.3,10.6
36005012500,Bronx,Bronx,4272,2125,2147,71.0,1.4,22.1,1.7,2.0,2119,26348,14459,42.9,57.0,30.8,26.8,14.2,7.9,20.3,21.5,3.7,61.6,6.0,4.1,3.0,39.3,13.5
36005012701,Bronx,Bronx,1992,791,1201,78.3,2.1,16.1,0.3,2.8,1271,18641,11700,49.4,59.9,17.4,34.3,27.3,8.8,12.2,4.4,4.3,72.2,16.9,1.7,0.5,39.7,9.0
36005012901,Bronx,Bronx,4017,1821,2196,58.1,2.5,36.1,0.0,2.4,2344,18269,9415,48.9,54.1,6.7,49.6,30.4,6.9,6.3,7.9,3.2,75.6,7.4,0.0,5.8,43.4,14.1
36005013000,Bronx,Bronx,1364,637,727,41.2,55.1,1.5,0.0,0.0,1118,77917,33654,5.7,3.2,23.4,15.1,36.1,12.3,13.0,52.1,14.6,30.4,0.9,0.0,2.0,39.2,6.7
36005013100,Bronx,Bronx,4685,2261,2424,71.4,0.8,24.3,0.0,1.8,2428,25271,12742,35.5,37.7,18.2,31.4,35.8,5.1,9.5,16.5,2.7,67.2,6.0,2.7,4.9,42.8,11.5
36005013200,Bronx,Bronx,7426,3706,3720,50.0,31.3,10.7,0.0,3.8,5755,96701,38669,7.0,15.8,38.5,23.6,25.2,5.9,6.9,54.0,6.8,30.6,7.0,1.6,0.0,41.4,7.5
36005013300,Bronx,Bronx,7284,3419,3865,69.8,1.0,28.8,0.0,0.0,4211,25282,13793,25.5,26.4,13.4,44.1,21.2,1.3,20.0,18.9,3.5,62.0,5.3,8.2,2.1,36.5,15.0
36005013500,Bronx,Bronx,3908,1697,2211,62.0,1.3,32.2,0.8,0.0,2225,23279,14125,40.2,55.9,16.5,43.5,16.8,7.2,16.0,19.0,0.9,68.2,6.8,3.5,1.6,41.6,12.3
36005013800,Bronx,Bronx,2989,1451,1538,21.6,67.4,4.9,0.0,4.9,2234,79773,39479,5.5,0.0,31.5,13.2,28.0,10.2,17.2,59.1,12.6,24.5,1.7,0.0,2.2,35.6,7.9
36005014100,Bronx,Bronx,5355,2435,2920,61.2,0.8,36.2,0.0,0.9,2821,32500,20805,26.2,31.6,21.2,37.0,24.5,4.2,13.1,15.1,2.2,70.6,10.1,0.0,2.0,43.8,13.1
36005014300,Bronx,Bronx,968,454,514,46.2,5.4,42.1,1.0,4.2,505,12000,9332,52.2,46.6,12.0,59.8,15.7,2.4,10.0,7.8,0.0,73.1,10.5,4.6,4.1,39.7,17.8
36005014400,Bronx,Bronx,6049,2208,3841,58.7,1.8,35.3,0.0,3.6,3745,19418,15457,46.4,56.2,16.9,42.3,27.2,6.0,7.5,31.4,4.4,55.7,6.3,1.7,0.4,58.5,19.7
36005014500,Bronx,Bronx,7360,3082,4278,60.3,0.8,36.3,1.1,0.2,3532,22711,9229,50.4,58.6,12.7,48.4,21.2,4.3,13.5,13.6,8.7,69.0,8.7,0.0,0.0,52.4,21.5
36005014701,Bronx,Bronx,7023,3129,3894,52.8,1.2,45.6,0.0,0.0,3729,14334,8401,61.0,68.3,13.1,53.7,23.0,4.8,5.4,9.2,1.3,78.7,8.2,0.0,2.6,46.0,24.8
36005014702,Bronx,Bronx,5243,2148,3095,59.4,0.4,39.0,0.0,0.0,2899,17782,7962,57.8,79.0,12.4,51.2,23.5,3.8,9.1,4.8,1.3,80.9,10.0,0.8,2.2,44.9,19.7
36005014900,Bronx,Bronx,4348,2140,2208,59.1,2.3,35.2,0.0,0.2,2399,27212,12449,48.5,53.8,17.6,34.2,25.2,11.6,11.3,32.7,4.3,52.9,2.9,3.1,4.2,41.6,18.1
36005015100,Bronx,Bronx,5458,2625,2833,56.9,1.3,40.4,0.0,0.0,2673,30339,14429,28.2,37.6,21.9,43.5,16.0,10.0,8.6,21.3,4.3,58.6,6.1,8.0,1.8,42.4,10.4
36005015200,Bronx,Bronx,2803,1375,1428,60.7,26.0,6.0,0.0,4.5,1973,70162,28665,14.0,20.6,27.6,27.4,27.1,5.8,12.2,41.5,19.0,33.0,3.5,1.3,1.7,36.3,8.5
36005015300,Bronx,Bronx,4466,1925,2541,52.6,0.7,45.5,0.0,0.9,2225,19630,12812,50.8,69.3,22.5,35.3,25.4,5.3,11.4,16.3,2.0,71.1,7.4,1.9,1.5,43.7,15.1
36005015500,Bronx,Bronx,3178,1319,1859,80.6,0.5,17.1,0.0,1.1,1642,21136,10488,51.7,64.2,13.5,39.7,27.5,6.5,12.8,17.5,1.7,72.7,7.4,0.6,0.0,45.0,31.1
36005015700,Bronx,Bronx,4054,1666,2388,66.4,1.0,30.8,0.0,0.4,2026,33785,16223,26.7,34.2,17.3,31.9,19.9,19.3,11.6,16.5,1.9,71.5,8.4,0.2,1.4,42.8,22.6
36005015800,Bronx,Bronx,1202,529,673,49.6,36.7,6.3,0.0,3.0,850,77045,32964,11.5,10.4,36.7,22.6,25.9,6.3,8.5,43.4,6.9,38.3,4.4,3.9,3.2,40.8,7.5
36005015900,Bronx,Bronx,1420,528,892,91.2,0.5,6.8,0.0,1.5,929,16027,12878,51.0,57.4,38.3,34.7,22.1,0.0,4.9,19.7,0.0,67.6,11.0,0.0,1.6,46.3,13.1
36005016000,Bronx,Bronx,4274,2194,2080,23.1,70.8,0.7,0.0,3.2,2828,77216,35775,3.3,0.0,31.1,24.0,27.0,8.4,9.5,55.2,12.9,23.0,3.2,1.6,4.1,35.7,6.9
36005016100,Bronx,Bronx,4140,1862,2278,71.6,0.6,27.2,0.0,0.7,2118,12467,12532,51.6,61.9,19.0,51.6,16.5,3.2,9.7,18.5,3.3,69.8,5.4,0.0,3.0,44.0,17.8
36005016200,Bronx,Bronx,1969,876,1093,39.9,52.9,4.5,1.8,0.6,1424,70682,22967,14.4,22.3,29.4,30.3,25.1,4.6,10.6,52.2,4.6,32.3,7.5,0.0,3.4,36.2,9.3
36005016300,Bronx,Bronx,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,
36005016400,Bronx,Bronx,885,401,484,28.0,63.3,8.7,0.0,0.0,678,60682,35090,10.1,14.8,29.2,34.5,23.6,6.8,5.9,40.1,5.0,35.4,8.1,3.4,8.1,31.6,14.6
36005016500,Bronx,Bronx,1189,613,576,44.0,0.3,55.7,0.0,0.0,628,26645,12860,33.9,60.7,15.0,44.2,23.2,2.9,14.8,20.7,3.0,70.1,2.5,0.0,3.7,50.2,11.0
36005016600,Bronx,Bronx,2252,1061,1191,51.8,34.3,3.0,0.0,9.9,1688,63421,28075,10.2,5.2,39.3,19.1,24.6,8.1,9.0,36.1,7.6,45.7,2.3,2.6,5.7,46.3,9.1
36005016700,Bronx,Bronx,2733,1228,1505,45.2,1.2,52.7,0.0,0.0,1363,27222,9971,43.8,49.8,18.0,36.4,22.5,3.2,19.9,19.5,4.1,68.2,3.0,2.5,2.7,43.5,15.5
36005016900,Bronx,Bronx,1338,620,718,42.7,3.0,53.9,0.4,0.0,881,27697,14745,39.4,34.5,19.2,32.2,26.0,9.4,13.2,28.9,4.5,61.0,5.6,0.0,0.0,40.4,25.2
36005017100,Bronx,Bronx,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,
36005017300,Bronx,Bronx,6301,3055,3246,61.2,1.0,26.9,3.3,6.5,3140,18720,11124,36.7,30.7,16.4,36.3,29.5,1.5,16.3,9.5,0.6,75.8,10.6,1.1,2.4,44.1,17.5
36005017500,Bronx,Bronx,7004,3064,3940,58.4,1.6,34.9,2.7,0.0,3584,22000,16132,45.8,57.2,19.6,40.9,25.6,4.4,9.5,15.1,1.7,65.0,13.1,2.0,3.1,39.3,14.4
36005017701,Bronx,Bronx,4946,2351,2595,62.6,1.2,35.7,0.0,0.2,2208,25022,12870,46.7,65.9,24.6,38.4,14.1,1.1,21.8,10.8,23.0,49.9,7.9,8.5,0.0,30.2,15.6
36005017702,Bronx,Bronx,5388,2510,2878,65.7,0.5,28.9,0.0,2.3,2453,23485,12008,42.1,54.5,28.3,30.6,19.5,3.4,18.2,13.3,6.2,62.4,6.5,2.7,8.9,41.2,15.7
36005017901,Bronx,Bronx,4661,2218,2443,69.1,1.1,24.2,3.8,1.9,2630,21376,12459,44.3,65.3,22.0,31.4,15.3,9.7,21.6,12.6,0.0,68.0,10.6,2.5,6.3,39.7,15.7
36005017902,Bronx,Bronx,3600,1717,1883,57.6,0.6,38.9,0.0,0.0,1711,20852,11097,41.3,51.8,13.3,45.4,24.6,6.9,9.8,7.1,1.0,75.9,5.4,0.0,10.7,43.3,13.9
36005018101,Bronx,Bronx,2921,1324,1597,51.6,0.0,47.1,0.0,0.0,1562,27371,13799,34.5,59.7,8.4,39.8,25.5,5.6,20.6,17.6,2.1,68.0,10.0,0.0,2.4,41.1,12.0
36005018102,Bronx,Bronx,5626,2656,2970,54.2,4.6,36.5,0.0,4.1,2396,38250,14801,33.7,56.2,20.1,37.6,25.5,3.2,13.6,9.5,2.3,80.4,3.5,1.3,3.0,41.0,14.8
36005018301,Bronx,Bronx,4202,1882,2320,56.5,4.4,34.7,0.0,2.7,2970,29987,22383,23.9,26.1,33.4,33.2,21.6,0.4,11.4,16.3,1.5,56.0,13.2,5.0,8.0,35.8,16.3
36005018302,Bronx,Bronx,4078,1991,2087,67.4,2.0,28.4,0.0,0.5,2043,31324,13543,36.4,59.2,16.0,26.2,34.6,10.0,13.2,9.3,3.2,65.3,9.0,3.8,9.3,43.5,16.8
36005018400,Bronx,Bronx,3676,1815,1861,38.5,54.3,4.2,0.0,1.0,2651,60518,30463,14.5,29.2,36.8,18.7,25.8,14.8,3.9,51.4,7.0,32.7,5.7,0.0,3.1,34.3,7.1
36005018500,Bronx,Bronx,6885,3125,3760,53.5,1.5,43.8,0.0,0.0,3487,26496,12708,43.8,50.0,17.0,44.0,27.7,4.1,7.2,15.7,1.2,65.1,6.4,2.9,8.7,48.4,19.7
36005018900,Bronx,Bronx,8304,4016,4288,74.3,3.5,21.5,0.1,0.2,4114,21180,12466,44.1,47.9,23.5,26.6,27.7,7.4,14.7,20.2,4.8,52.7,13.8,3.3,5.3,38.7,16.7
36005019300,Bronx,Bronx,5737,2400,3337,55.7,0.2,44.0,0.0,0.2,3009,23267,13286,50.9,61.0,13.7,30.0,34.6,6.4,15.4,21.5,3.7,67.9,4.7,1.2,1.0,44.6,18.7
36005019400,Bronx,Bronx,2231,1148,1083,49.9,25.2,13.6,0.0,3.2,1554,51176,22916,23.6,23.2,21.0,21.1,33.9,9.4,14.7,47.6,2.6,39.2,8.7,1.4,0.6,43.5,11.1
36005019500,Bronx,Bronx,7622,3232,4390,73.2,0.7,23.8,0.0,1.2,3957,26706,14042,34.4,40.4,15.9,47.2,22.4,5.1,9.4,8.2,6.0,63.3,12.7,2.6,7.2,40.1,15.0
36005019700,Bronx,Bronx,7104,3334,3770,63.3,1.1,26.2,0.0,6.1,3113,25875,13599,35.7,44.8,8.1,44.8,28.3,6.1,12.6,10.5,2.1,74.3,7.0,3.0,3.1,40.3,9.3
36005019900,Bronx,Bronx,8015,3723,4292,67.6,2.0,29.1,0.0,0.0,3600,24914,14441,38.1,47.0,19.9,43.3,23.7,2.7,10.5,15.8,4.6,72.1,4.6,1.2,1.6,39.2,13.4
36005020000,Bronx,Bronx,4722,2312,2410,55.6,4.6,3.9,0.0,31.7,2450,44771,19337,27.4,35.9,19.4,35.1,21.4,10.6,13.5,17.4,5.7,64.4,5.4,3.6,3.5,50.1,14.7
